user_id,auto,manual
1,643.954,6.951
10,210.2255,156.089
100,95.943,
101,375.142,11.006
102,113.5515,
103,,9.441
104,1118.222,0.506
105,49.567,0.899
106,1272.988,
107,176.65,
108,4159.345,
109,7.17,1.1305
11,664.0005,12.7805
110,53.276,2.179
111,4.414,
112,,20.637
113,17.115,
114,6.064,8.932
115,791.979,0.973
117,,20.23
118,61.8,30.891
119,3910.671,
12,269.265,11.0825
120,53.504,14.909
121,4.761,9.938
122,,5.8685
123,,0.709
125,240.90949999999998,32.6
126,399.098,14.044
127,1593.491,
128,91.173,104.59849999999999
129,17.699,3.717
13,9.581,
130,6.653,80.3615
131,,79.35650000000001
132,20.101,
133,12.657,1.641
134,313.09,0.543
135,647.598,1.402
136,296.217,302.27700000000004
137,3926.797,6.2225
138,,5.1705000000000005
139,10.193,87.6095
14,131.975,1.892
140,23.393,
141,9.319,4.6985
142,,1.238
143,183.89,13.998
144,43.211,
145,4732.79,
146,47.934,
147,3060.0155,
148,6257.369,
149,5051.281,
15,120.7835,26.273500000000002
150,60.246,
151,2682.933,228.8635
152,1377.45,1.747
153,,149.792
154,4.18,1.161
155,3.538,
156,7.617,
157,9.415,2.354
158,23.804,30.628
159,792.016,49.771
16,1451.553,42.577
161,1531.794,
162,18.334,128.525
163,,1.95
164,1817.529,
165,109.776,
166,696.113,
167,54.555,12.496
168,121.688,
169,,13.6565
17,83.084,10.726
170,22.5,88.61349999999999
171,23.691,
172,16.688,
173,641.737,
174,,3.761
175,,330.439
177,218.92149999999998,1.325
178,31.659,
179,72.71,10.982
18,1283.811,
180,22.834,
181,8.144,
182,456.6825,2.0645
183,831.29,
184,159.966,
185,,348.645
187,24.53,
188,12.539,2.478
189,20.252000000000002,7.471
19,640.296,1.189
190,,227.935
191,,3.2169999999999996
192,8.087,9.439
193,4.507,
194,7.957,
195,6.836,
196,33.035,
198,125.748,
199,,22.863
2,58.624,1.3944999999999999
20,,154.5605
200,,34.045
201,,8.308
203,9.954,
21,1676.159,8.367
22,142.3555,7.569
23,,1.666
24,2283.771,14.983
25,250.697,144.924
26,169.243,16.103
27,47.628,1.801
28,244.1855,8.108
29,102.58449999999999,7.724
3,221.1475,
30,82.01,1.622
31,150.9635,
32,166.871,7.457
33,2732.6040000000003,61.59
34,514.478,67.183
35,14.6445,16.1385
36,8.915,10.059
37,406.181,55.099
38,107.93,20.0
39,9.342,20.367
4,1010.594,13.592
40,1107.965,51.4015
41,662.46,109.65
42,27.617,25.108
43,78.288,73.676
44,,1.8705
45,3.235,47.553
46,90.79400000000001,45.243
47,,26.103
48,14.536,6.348
49,12.787,8.001
5,414.612,74.53349999999999
51,59.964,
52,,3.0865
53,2025.1440000000002,0.951
54,29.492,2.14
55,743.059,29.296
56,750.095,
57,31.3635,12.056
58,15.118,8.271
59,,2.8215000000000003
6,657.3969999999999,470.099
60,,32.087
61,840.492,6.41
62,,1.401
63,232.38,2.228
64,1683.474,79.5275
65,803.808,6.1155
66,23.872,0.969
67,3.066,3.886
68,3.659,
69,234.131,9.882000000000001
7,81.226,6.448
70,,1.2610000000000001
71,5.781,10.1815
72,294.48699999999997,4.756
73,2252.204,
74,710.573,1.349
75,294.714,122.91650000000001
76,483.849,26.9095
77,121.441,
78,25.267,19.8315
79,240.896,105.378
8,131.895,3.245
80,7.885,1.0074999999999998
81,,67.885
82,,10.9145
83,23.734,
84,3.396,2.966
85,1604.8415,5.692
86,579.727,1.887
87,157.106,1.8795
88,,6.037
89,51.824,180.13
9,495.97,7.705
90,57.0215,327.805
91,773.9885,69.4575
92,,256.526
93,147.788,
94,4689.5505,8.026
95,4.435,159.4965
96,5625.6695,8.661000000000001
97,,2.549
98,2136.0060000000003,
99,9.2925,
